ID,course,completed,upgraded,gender,country,age,education,job,major,logged_location,registration_year,registration_month,registration_day,registration_hour,registration_minute,withdrawl_year,withdrawl_month,withdrawl_day,withdrawl_hour,withdrawl_minute,completion_year,completion_month,completion_day,completion_hour,completion_minute,upgrade_year,upgrade_month,upgrade_day,upgrade_hour,upgrade_minute
1170561122,2,0,0,0,0,0,0,0,0,9,2012,3,6,14,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1170664797,2,0,0,0,0,0,0,0,0,56,2012,4,11,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1170747870,2,0,0,0,0,0,0,0,0,56,2012,1,7,21,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1170769787,2,0,0,0,0,0,0,0,0,56,2012,3,17,20,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1170769908,2,0,0,0,0,0,0,0,0,141,2012,3,23,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1170773362,2,0,0,0,0,0,0,0,0,148,2012,2,9,16,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1170793542,2,0,0,0,0,0,0,0,0,56,2012,3,1,17,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1170802438,2,0,0,0,0,0,0,0,0,56,2012,2,2,19,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1170802873,2,0,0,0,0,0,0,0,0,56,2012,2,10,22,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1170852506,2,0,0,0,0,0,0,0,0,56,2012,4,5,18,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1170864296,2,0,0,1,36,2,6,7,11,56,2012,1,2,12,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1170866797,2,0,0,0,0,0,0,0,0,56,2012,3,7,15,5,2012,3,14,19,21,0,0,0,0,0,0,0,0,0,0
1170924936,2,0,0,0,0,0,0,0,0,75,2012,2,15,5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1170940216,2,0,0,0,0,0,0,0,0,122,2012,2,2,20,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1170952813,2,0,0,0,0,0,0,0,0,56,2012,1,29,11,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1170955862,2,0,0,0,0,0,0,0,0,36,2012,3,9,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1170979511,2,0,0,0,0,0,0,0,0,136,2011,12,22,10,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1170985626,2,0,0,0,0,0,0,0,0,171,2012,1,12,23,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1171058332,2,0,0,0,0,0,0,0,0,56,2012,3,3,19,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1171071102,2,0,0,0,0,0,0,0,0,56,2012,1,5,21,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1171093849,2,0,0,2,36,4,4,4,0,56,2012,3,8,14,58,2012,3,18,11,35,0,0,0,0,0,0,0,0,0,0
1171205151,2,0,0,0,0,0,0,0,0,51,2012,3,1,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1171295907,2,0,0,2,36,1,6,6,0,56,2012,1,5,12,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1171321111,2,0,0,0,0,0,0,0,0,79,2012,4,21,19,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1171323491,2,0,0,0,0,0,0,0,0,67,2012,1,14,1,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1171339123,2,0,0,0,0,0,0,0,0,29,2011,12,30,19,48,2013,2,2,17,9,0,0,0,0,0,0,0,0,0,0
1171370004,2,0,0,2,36,1,8,7,2,56,2012,4,9,18,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1171389180,2,0,0,0,0,0,0,0,0,15,2012,1,10,16,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1171389189,2,0,0,0,0,0,0,0,0,122,2012,3,1,15,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1171390618,2,0,0,0,0,0,0,0,0,56,2012,2,24,11,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1171390802,2,0,0,0,0,0,0,0,0,43,2012,1,1,15,21,2012,5,3,7,37,0,0,0,0,0,0,0,0,0,0
1171392372,2,0,0,1,36,3,6,0,20,56,2012,1,13,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1171392377,2,0,0,0,0,0,0,0,0,75,2012,5,1,5,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1171418786,2,0,0,0,0,0,0,0,0,171,2012,1,5,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1171449267,2,0,0,0,0,0,0,0,0,37,2012,1,19,17,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1171539039,2,0,0,0,0,0,0,0,0,117,2012,3,2,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1171582534,2,0,0,0,0,0,0,0,0,56,2012,2,2,13,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1171630652,2,0,0,0,0,0,0,0,0,13,2012,2,10,13,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1171666425,2,0,0,0,0,0,0,0,0,56,2011,12,30,19,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1171667635,2,0,0,0,0,0,0,0,0,171,2011,12,18,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1171709472,2,0,0,2,36,4,6,5,3,56,2012,1,26,13,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
